neymar, A, 1, 10, 2, 5, 4
messi, A, 2, 9, 2, 3, 5
cristiano ronaldo, A, 3, 7, 2, 8, 4
suarez, A, 4, 5, 2, 7, 4
kane, A, 5, 3, 2, 6, 3
mbappe, A, 6, 7, 2, 6, 3
vinicius junior, A, 7, 8, 2, 4, 2
rodrygo, A, 8, 6, 2, 4, 3
ibrahimovic, B, 1, 3, 2, 8, 2
yuri alberto, B, 2, 4, 2, 6, 2
ronaldo, B, 3, 8, 2, 5, 3
ronaldinho gaucho, B, 4, 9, 1, 4, 7
kross, B, 5, 4, 3, 4, 9
iniesta, B, 6, 5, 3, 4, 8
modric, B, 7, 5, 3, 4, 8
kaka, B, 8, 6, 3, 4, 7
casemiro, C, 1, 3, 7, 6, 5
zidane, C, 2, 7, 3, 5, 8
beckham, C, 3, 5, 3, 4, 7
xavi, C, 4, 4, 4, 4, 8
rivaldo, C, 5, 5, 3, 5, 6
craque neto, C, 6, 4, 3, 4, 7
sergio ramos, C, 7, 2, 8, 7, 3
van dijk, C, 8, 2, 7, 8, 2
hummels, D, 1, 2, 6, 6, 2
boateng, D, 2, 2, 6, 7, 1
thiago silva, D, 3, 2, 8, 6, 2
marquinhos, D, 4, 1, 6, 5, 4
rudiger,  D, 5, 1, 6, 7, 3
lucio, D, 6, 2, 7, 7, 2
lahm, D, 7, 4, 5, 5, 4
dani alves, D, 8, 5, 5, 4, 6
